tipo;categoria;tema;link
Consulta;Viagens a Serviço;Voos do Governador;https://www.transparencia.mg.gov.br/pagina/voos-do-governador
Informações e Atendimento;Atendimento;Acesso à Informação (e-SIC);https://acessoainformacao.mg.gov.br/sistema/site/index.aspx
Informações e Atendimento;Atendimento;Fale Conosco – SEE;https://faleconosco.mg.gov.br/ligminas-bpms-frontend/publico/br/gov/prodemge/seplag/ligminasbpms/visao/processos/RegistrarAtendimentoFaleConosco.zul?processo=PROC_00093&atividade=ATIV_00388&site=SEE
Informações e Atendimento;Atendimento;Fale Conosco – DETRAN MG;https://detran.mg.gov.br/atendimento
Informações e Atendimento;Atendimento;Fale Conosco – Portal da Transparência;https://www.transparencia.mg.gov.br/pagina/fale-conosco-portal-da-transparencia
Informações e Atendimento;Atendimento;Lig Minas – 155;https://www.mg.gov.br/pagina/ligminas-155
Informações e Atendimento;Atendimento;Ouvidoria Geral do Estado;https://www.ouvidoriageral.mg.gov.br/
Informações e Atendimento;Atendimento;Perguntas Frequentes;https://www.transparencia.mg.gov.br/pagina/perguntas-frequentes
Consulta;Concursos e Processos Seletivos;Processos Seletivos SEPLAG;https://www.transparencia.mg.gov.br/menu/processos-seletivos-1
Consulta;Concursos e Processos Seletivos;Transforma Minas - Processos em andamento;https://www.transparencia.mg.gov.br/menu/processos-seletivos-1
Consulta;Concursos e Processos Seletivos;Transforma Minas - Processos Encerrados;https://www.transparencia.mg.gov.br/menu/processos-seletivos-1
